OTU_Full_ID,GAB6329,GAB6330,GAB6331,GAB6858,GAB6859,GAB6860,GAB6409,GAB6410,GAB6411,GAB6930,GAB6931,GAB6932,GABS002,GABS003,GABS008,GAB6634,GAB6635,GAB6636,GAB7003,GAB7004,GAB7005,GAB5926,GAB5927,GAB5928,GAB5284,GAB5285,GAB5286,GAB5869,GAB5870,GAB5871,GAB5358,GAB5359,GAB5360,GABS005,GABS006,GABS013,GABS017,GABS023,GABS024,GAB6701,GAB5427,GAB5732,GAB6280,GAB6702,GAB6802,GAB6360,GAB6878,GAB5733,GAB6703,GAB5428,GABW005,GAB5734,GAB6582,GAB6704,GAB6951,GAB5735,GAB5232,GAB5429,GAB5594,GAB5430
GAB_alkB_OTUb_4_BPA_1401_Chevron_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,682,417,103,179,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_86_BPA_2218_Chevron_213,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,67,50,37,33,1,24,30,9,44,187,133,77,31,34,47,114,47,41,0,60,490,224,148,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_289_BPA_1584_Chevron_155,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,55,35,24,22,1,21,18,6,16,141,74,61,20,41,30,76,38,20,0,34,356,166,95,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_75_BPA_327_Chevron_47,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,31,84,35,0,0,17,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_202_BPA_1262_Chevron_91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,100,73,124,122,58,0,173,69,19,172,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_51_BPA_140_Chevron_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,5,30,0,7,11,8,0,33,15,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_15_BPA_96_Chevron_2150,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,36,18,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_114_BPA_9211_Chevron_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,67,77,51,27,30,2,4995,1297,1299,870,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_160_BPA_530_Chevron_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,38,28,36,219,90,41,1,6,2,33,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_1_BPA_485_Chevron_2226,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,1,0,1,2,3,1,2,0,0,212,90,75,62,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_408_BPA_152_Chevron_74,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,10,0,26,0,0,0,0,4,0,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_32_BPA_284_Chevron_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,20,0,6,47,75,42,15,1,0,42,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUa_386_BPA_563_Chevron_64,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,167,136,46,41,0,58,2,1,3,10,9,4,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_61_BPA_42_Chevron_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,7,6,2,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB_alkB_OTUb_70_BPA_387_Chevron_52,0,0,0,0,0,0,0,0,0,0,0,0,4,76,0,108,78,34,26,1,28,0,0,4,6,12,3,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
