Sample code,ADSsample_number,ADS_short,sample_ID,Sample,VoyageSampleID,Voyage_year,Voyage,Sample Type,Collection,Station,Transect,Depth_actual,Depth 
GAB6329,102.100.100/26780,26780,GAB6329,6329,W13/006329,2013,1,sediment,ICP,14,2,188,200
GAB6330,102.100.100/26781,26781,GAB6330,6330,W13/006330,2013,1,sediment,ICP,14,2,188,200
GAB6331,102.100.100/26782,26782,GAB6331,6331,W13/006331,2013,1,sediment,ICP,14,2,188,200
GAB6858,102.100.100/34324,34324,GAB6858,6858,W13/006858,2013,1,sediment,ICP,20,4,182,200
GAB6859,102.100.100/26807,26807,GAB6859,6859,W13/006859,2013,1,sediment,ICP,20,4,211,200
GAB6860,102.100.100/26808,26808,GAB6860,6860,W13/006860,2013,1,sediment,ICP,20,4,211,200
GAB6409,102.100.100/26784,26784,GAB6409,6409,W13/006409,2013,1,sediment,ICP,15,2,477,400
GAB6410,102.100.100/26785,26785,GAB6410,6410,W13/006410,2013,1,sediment,ICP,15,2,477,400
GAB6411,102.100.100/26786,26786,GAB6411,6411,W13/006411,2013,1,sediment,ICP,15,2,477,400
GAB6930,102.100.100/26810,26810,GAB6930,6930,W13/006930,2013,1,sediment,ICP,21,4,440,400
GAB6931,102.100.100/26811,26811,GAB6931,6931,W13/006931,2013,1,sediment,ICP,21,4,440,400
GAB6932,102.100.100/26812,26812,GAB6932,6932,W13/006932,2013,1,sediment,ICP,21,4,440,400
GAB0856,102.100.100/26860,26860,GABS002,856,GAB/000856,2015,2,sediment,ICP,43,2,1000,1000
GAB0857,102.100.100/26861,26861,GABS003,857,GAB/000857,2015,2,sediment,ICP,43,2,1000,1000
GAB0858,102.100.100/26866,26866,GABS008,858,GAB/000858,2015,2,sediment,ICP,43,2,1000,1000
GAB6634,102.100.100/26796,26796,GAB6634,6634,W13/006634,2013,1,sediment,ICP,16,2,996,1000
GAB6635,102.100.100/26797,26797,GAB6635,6635,W13/006635,2013,1,sediment,ICP,16,2,996,1000
GAB6636,102.100.100/26798,26798,GAB6636,6636,W13/006636,2013,1,sediment,ICP,16,2,996,1000
GAB7003,102.100.100/26814,26814,GAB7003,7003,W13/007003,2013,1,sediment,ICP,22,4,1015,1000
GAB7004,102.100.100/26815,26815,GAB7004,7004,W13/007004,2013,1,sediment,ICP,22,4,1015,1000
GAB7005,102.100.100/26816,26816,GAB7005,7005,W13/007005,2013,1,sediment,ICP,22,4,1015,1000
GAB5926,102.100.100/26760,26760,GAB5926,5926,W13/005926,2013,1,sediment,ICP,7,2,1482,1500
GAB5927,102.100.100/26761,26761,GAB5927,5927,W13/005927,2013,1,sediment,ICP,7,2,1482,1500
GAB5928,102.100.100/26762,26762,GAB5928,5928,W13/005928,2013,1,sediment,ICP,7,2,1482,1500
GAB5284,102.100.100/22034,22034,GAB5284,5284,W13/005284,2013,1,sediment,ICP,3,4,1494,1500
GAB5285,102.100.100/22035,22035,GAB5285,5285,W13/005285,2013,1,sediment,ICP,3,4,1494,1500
GAB5286,102.100.100/22036,22036,GAB5286,5286,W13/005286,2013,1,sediment,ICP,3,4,1494,1500
GAB5869,102.100.100/26757,26757,GAB5869,5869,W13/005869,2013,1,sediment,ICP,8,2,2010,2000
GAB5870,102.100.100/26758,26758,GAB5870,5870,W13/005870,2013,1,sediment,ICP,8,2,2010,2000
GAB5871,102.100.100/26759,26759,GAB5871,5871,W13/005871,2013,1,sediment,ICP,8,2,2010,2000
GAB5358,102.100.100/22037,22037,GAB5358,5358,W13/005358,2013,1,sediment,ICP,4,4,1924,2000
GAB5359,102.100.100/22038,22038,GAB5359,5359,W13/005359,2013,1,sediment,ICP,4,4,1924,2000
GAB5360,102.100.100/22039,22039,GAB5360,5360,W13/005360,2013,1,sediment,ICP,4,4,1924,2000
GAB0645,102.100.100/26863,26863,GABS005,645,GAB/000645,2015,2,sediment,ICP,46,2,3000,3000
GAB0646,102.100.100/26864,26864,GABS006,646,GAB/000646,2015,2,sediment,ICP,46,2,3000,3000
GAB0644,102.100.100/26871,26871,GABS013,644,GAB/000644,2015,2,sediment,ICP,46,2,3000,3000
GAB0433,102.100.100/26875,26875,GABS017,433,GAB/000433,2015,2,sediment,ICP,26,4,3000,3000
GAB0434,102.100.100/26881,26881,GABS023,434,GAB/000434,2015,2,sediment,ICP,26,4,3000,3000
GAB0435,102.100.100/26882,26882,GABS024,435,GAB/000435,2015,2,sediment,ICP,26,4,3000,3000
GAB6701,102.100.100/26799,26799,GAB6701,6701,W13/006701,2013,1,water,CTD_Hazen,16,2,60,65
GAB5427,102.100.100/22040,22040,GAB5427,5427,W13/005427,2013,1,water,CTD_Hazen,4,4,60,65
GAB5732,102.100.100/26746,26746,GAB5732,5732,W13/005732,2013,1,water,CTD_Hazen,7,2,200,200
GAB6280,102.100.100/26779,26779,GAB6280,6280,W13/006280,2013,1,water,ICP,14,2,171,200
GAB6702,102.100.100/34323,34323,GAB6702,6702,W13/006702,2013,1,water,CTD_Hazen,16,2,200,200
GAB6802,102.100.100/26806,26806,GAB6802,6802,W13/006802,2013,1,water,ICP,20,4,182,200
GAB6360,102.100.100/26783,26783,GAB6360,6360,W13/006360,2013,1,water,ICP,15,2,364,400
GAB6878,102.100.100/26809,26809,GAB6878,6878,W13/006878,2013,1,water,ICP,21,4,400,400
GAB5733,102.100.100/26747,26747,GAB5733,5733,W13/005733,2013,1,water,CTD_Hazen,7,2,700,650
GAB6703,102.100.100/26800,26800,GAB6703,6703,W13/006703,2013,1,water,CTD_Hazen,16,2,650,650
GAB5428,102.100.100/22041,22041,GAB5428,5428,W13/005428,2013,1,water,CTD_Hazen,4,4,670,650
GAB0865,102.100.100/26913,26913,GABW005,865,GAB/000865,2015,2,water,ICP?,43,2,1000,1000
GAB5734,102.100.100/26748,26748,GAB5734,5734,W13/005734,2013,1,water,CTD_Hazen,7,2,1000,1000
GAB6582,102.100.100/26795,26795,GAB6582,6582,W13/006582,2013,1,water,ICP,16,2,980,1000
GAB6704,102.100.100/26801,26801,GAB6704,6704,W13/006704,2013,1,water,CTD_Hazen,16,2,1000,1000
GAB6951,102.100.100/26813,26813,GAB6951,6951,W13/006951,2013,1,water,ICP,22,4,1000,1000
GAB5735,102.100.100/26749,26749,GAB5735,5735,W13/005735,2013,1,water,CTD_Hazen,7,2,1500,1500
GAB5232,102.100.100/22033,22033,GAB5232,5232,W13/005232,2013,1,water,ICP,3,4,1480,1500
GAB5429,102.100.100/22042,22042,GAB5429,5429,W13/005429,2013,1,water,CTD_Hazen,4,4,1330,1500
GAB5594,102.100.100/26745,26745,GAB5594,5594,W13/005594,2013,1,water,ICP,8,2,2000,2000
GAB5430,102.100.100/22043,22043,GAB5430,5430,W13/005430,2013,1,water,CTD_Hazen,4,4,1922,2000
